entidad_federativa,nivel_educativo,2015-2016_maestros,2015-2016_escuelas,2020-2021_maestros,2020-2021_escuelas,2021-2022_maestros,2021-2022_escuelas,2022-2023_maestros,2022-2023_escuelas,2023-2024_maestros,2023-2024_escuelas
Estados Unidos Mexicanos,Total,2021788.0,252024.0,2019632.0,255589.0,2017682.0,255537.0,2030790.0,256383.0,2045591.0,258193.0
Estados Unidos Mexicanos,Inicial,0.0,0.0,8643.0,4891.0,9182.0,4948.0,9988.0,4979.0,10327.0,5033.0
Estados Unidos Mexicanos,Preescolar,230781.0,89409.0,228086.0,87684.0,227163.0,87038.0,229972.0,87185.0,231471.0,87807.0
Estados Unidos Mexicanos,Primaria,574210.0,98004.0,568857.0,95699.0,567929.0,95855.0,571832.0,96005.0,571986.0,96449.0
Estados Unidos Mexicanos,Secundaria,408577.0,38885.0,404412.0,40578.0,405361.0,40963.0,412559.0,41522.0,417953.0,42246.0
Estados Unidos Mexicanos,Media superior,422001.0,20383.0,408267.0,20943.0,412956.0,20886.0,412151.0,20759.0,418165.0,20717.0
Estados Unidos Mexicanos,Superior,386219.0,5343.0,401367.0,5794.0,395091.0,5847.0,394288.0,5933.0,395689.0,5941.0
Aguascalientes,Total,23606.0,2060.0,24260.0,2184.0,24334.0,2192.0,24035.0,2210.0,24939.0,2205.0
Aguascalientes,Inicial,0.0,0.0,119.0,64.0,157.0,68.0,174.0,71.0,218.0,69.0
Aguascalientes,Preescolar,2124.0,640.0,2182.0,665.0,2258.0,671.0,2280.0,682.0,2274.0,680.0
Aguascalientes,Primaria,5010.0,708.0,5048.0,713.0,5053.0,717.0,5116.0,718.0,5169.0,715.0
Aguascalientes,Secundaria,5216.0,355.0,5358.0,372.0,5583.0,377.0,5654.0,375.0,5862.0,381.0
Aguascalientes,Media superior,5588.0,302.0,5843.0,306.0,5816.0,296.0,5818.0,296.0,6012.0,289.0
Aguascalientes,Superior,5668.0,55.0,5710.0,64.0,5467.0,63.0,4993.0,68.0,5404.0,71.0
Baja California,Total,56973.0,4290.0,59877.0,4421.0,57225.0,4392.0,59337.0,4323.0,59499.0,4362.0
Baja California,Inicial,0.0,0.0,197.0,87.0,156.0,96.0,129.0,82.0,170.0,81.0
Baja California,Preescolar,4956.0,1427.0,4896.0,1451.0,4822.0,1424.0,4863.0,1399.0,4860.0,1419.0
Baja California,Primaria,14633.0,1650.0,14362.0,1617.0,14276.0,1613.0,14477.0,1608.0,14642.0,1624.0
Baja California,Secundaria,13915.0,670.0,12396.0,666.0,12392.0,671.0,12766.0,668.0,13153.0,675.0
Baja California,Media superior,10656.0,400.0,14181.0,428.0,13392.0,417.0,13573.0,399.0,13377.0,391.0
Baja California,Superior,12813.0,143.0,13845.0,172.0,12187.0,171.0,13529.0,167.0,13297.0,172.0
Baja California Sur,Total,12367.0,1224.0,12991.0,1301.0,13370.0,1297.0,13061.0,1271.0,13006.0,1307.0
Baja California Sur,Inicial,0.0,0.0,58.0,39.0,65.0,31.0,79.0,31.0,60.0,32.0
Baja California Sur,Preescolar,1191.0,421.0,1274.0,424.0,1285.0,424.0,1242.0,401.0,1247.0,412.0
Baja California Sur,Primaria,3219.0,446.0,3427.0,444.0,3438.0,448.0,3450.0,445.0,3421.0,450.0
Baja California Sur,Secundaria,2674.0,189.0,2737.0,194.0,2747.0,194.0,2754.0,194.0,2834.0,215.0
Baja California Sur,Media superior,2937.0,133.0,3117.0,158.0,3212.0,157.0,3027.0,157.0,2937.0,156.0
Baja California Sur,Superior,2346.0,35.0,2378.0,42.0,2623.0,43.0,2509.0,43.0,2507.0,42.0
Campeche,Total,15107.0,2013.0,14948.0,2179.0,15049.0,2190.0,15289.0,2186.0,15511.0,2209.0
Campeche,Inicial,0.0,0.0,167.0,147.0,170.0,146.0,161.0,135.0,181.0,143.0
Campeche,Preescolar,1805.0,695.0,1844.0,704.0,1824.0,703.0,1850.0,705.0,1866.0,703.0
Campeche,Primaria,4397.0,778.0,4293.0,753.0,4285.0,760.0,4287.0,762.0,4263.0,762.0
Campeche,Secundaria,3327.0,333.0,3002.0,353.0,2952.0,358.0,2997.0,367.0,3131.0,380.0
Campeche,Media superior,2935.0,137.0,3017.0,149.0,3142.0,152.0,3157.0,148.0,3224.0,149.0
