entidad_federativa,nivel_educativo,2015-2016_total,2015-2016_hombres,2015-2016_mujeres,2020-2021_total,2020-2021_hombres,2020-2021_mujeres,2021-2022_total,2021-2022_hombres,2021-2022_mujeres,2022-2023_total,2022-2023_hombres,2022-2023_mujeres,2023-2024_total,2023-2024_hombres,2023-2024_mujeres
Aguascalientes,Preescolar,51094,25919,25175,51878,26243,25635,51932,26067,25865,53244,26746,26498,51923,25997,25926
Aguascalientes,Primaria,157794,80723,77071,160480,81571,78909,159517,81167,78350,160072,81207,78865,160882,81745,79137
Aguascalientes,Secundaria,75127,38003,37124,74675,37774,36901,74567,37462,37105,73707,37116,36591,74759,37586,37173
Aguascalientes,Media superior,57720,28408,29312,56636,27080,29556,55464,26376,29088,56980,27212,29768,58034,27551,30483
Aguascalientes,Superior,47602,23876,23726,53687,25222,28465,54936,25369,29567,54196,24983,29213,55521,25184,30337
Aguascalientes,Total,389337,196929,192408,397356,197890,199466,396416,196441,199975,398199,197264,200935,401119,198063,203056
Baja California,Preescolar,106570,53883,52687,96630,48365,48265,91837,45776,46061,97576,48130,49446,95661,47420,48241
Baja California,Primaria,385387,195933,189454,384953,195977,188976,380539,193368,187171,379695,192749,186946,379660,192503,187157
Baja California,Secundaria,196704,98900,97804,186104,93731,92373,185745,93593,92152,183627,92195,91432,185622,93787,91835
Baja California,Media superior,149527,74116,75411,147224,71268,75956,140287,67154,73133,148054,71558,76496,152086,73906,78180
Baja California,Superior,114543,57268,57275,129251,61975,67276,131320,61857,69463,128620,60688,67932,127286,59917,67369
Baja California,Total,952731,480100,472631,944162,471316,472846,929728,461748,467980,937572,465320,472252,940315,467533,472782
Baja California Sur,Preescolar,26482,13376,13106,26082,12960,13122,23927,11830,12097,25080,12390,12690,25752,12734,13018
Baja California Sur,Primaria,80875,41191,39684,83662,42668,40994,82697,42095,40602,82593,42020,40573,82454,41765,40689
Baja California Sur,Secundaria,39223,20048,19175,40608,20465,20143,40815,20568,20247,40939,20684,20255,41875,21148,20727
Baja California Sur,Media superior,30661,15108,15553,33870,16711,17159,32314,15488,16826,33423,16206,17217,36012,17587,18425
Baja California Sur,Superior,22330,11266,11064,23997,11411,12586,22750,10450,12300,22590,10456,12134,23001,10532,12469
Baja California Sur,Total,199571,100989,98582,208219,104215,104004,202503,100431,102072,204625,101756,102869,209094,103766,105328
Campeche,Preescolar,36653,18581,18072,34356,17216,17140,31435,15907,15528,32886,16637,16249,32248,16295,15953
Campeche,Primaria,102279,52630,49649,100121,51141,48980,98844,50156,48688,98212,49867,48345,96693,49129,47564
Campeche,Secundaria,48532,24614,23918,45736,23457,22279,44924,22960,21964,44702,22790,21912,45439,23140,22299
Campeche,Media superior,34500,17676,16824,36601,18404,18197,35504,17744,17760,36452,18329,18123,36762,18576,18186
Campeche,Superior,27338,14073,13265,28388,14063,14325,28727,13830,14897,29520,14044,15476,31135,14750,16385
Campeche,Total,249302,127574,121728,245202,124281,120921,239434,120597,118837,241772,121667,120105,242277,121890,120387
Chiapas,Preescolar,291885,146260,145625,285192,143537,141655,277389,139657,137732,293072,147140,145932,294536,147564,146972
Chiapas,Primaria,781031,397857,383174,797498,404898,392600,793492,402595,390897,796609,404564,392045,793691,402534,391157
Chiapas,Secundaria,312187,161796,150391,297774,153298,144476,292353,149563,142790,292302,149580,142722,298813,153040,145773
Chiapas,Media superior,231362,122990,108372,214534,110386,104148,208983,105179,103804,207773,103871,103902,206227,102603,103624
Chiapas,Superior,81137,42723,38414,78489,39946,38543,81378,40487,40891,81960,40368,41592,83894,40826,43068
Chiapas,Total,1697602,871626,825976,1673487,852065,821422,1653595,837481,816114,1671716,845523,826193,1677161,846567,830594
Chihuahua,Preescolar,123156,61929,61227,114632,57595,57037,111674,55930,55744,113293,56812,56481,111143,55778,55365
Chihuahua,Primaria,429694,218934,210760,410612,208919,201693,411264,209471,201793,407815,207388,200427,403346,204985,198361
Chihuahua,Secundaria,190865,95892,94973,191704,95986,95718,193255,97037,96218,185353,92823,92530,185093,92914,92179
Chihuahua,Media superior,149637,72311,77326,146581,69186,77395,142814,66288,76526,147536,69656,77880,147721,70152,77569
Chihuahua,Superior,124085,63688,60397,137363,65262,72101,132718,61241,71477,129563,59742,69821,129696,59976,69720
Chihuahua,Total,1017437,512754,504683,1000892,496948,503944,991725,489967,501758,983560,486421,497139,976999,483805,493194
Ciudad de México,Preescolar,299199,150612,148587,232889,117142,115747,213537,106995,106542,219271,110097,109174,208002,104090,103912
Ciudad de México,Primaria,879568,447102,432466,789656,400342,389314,776219,393541,382678,746095,377824,368271,722084,366188,355896
Ciudad de México,Secundaria,482317,245008,237309,438828,221562,217266,432334,218593,213741,409226,206382,202844,404808,204508,200300
Ciudad de México,Media superior,473724,240931,232793,455030,229263,225767,460143,228091,232052,452717,225562,227155,449729,224531,225198
Ciudad de México,Superior,530036,271684,258352,554990,275274,279716,548757,269828,278929,551879,272407,279472,559817,274248,285569
Ciudad de México,Total,2664844,1355337,1309507,2471393,1243583,1227810,2430990,1217048,1213942,2379188,1192272,1186916,2344440,1173565,1170875
Coahuila de Zaragoza,Preescolar,120673,60988,59685,129840,65824,64016,127747,64352,63395,129935,65362,64573,128475,64844,63631
Coahuila de Zaragoza,Primaria,337794,171915,165879,329075,167192,161883,323947,164802,159145,327171,166327,160844,335176,170042,165134
Coahuila de Zaragoza,Secundaria,171861,86885,84976,157186,79010,78176,157052,79105,77947,153963,77402,76561,155256,78258,76998
Coahuila de Zaragoza,Media superior,114277,58378,55899,117561,58236,59325,113880,55891,57989,119026,58486,60540,120176,58822,61354
Coahuila de Zaragoza,Superior,95595,50913,44682,115626,58082,57544,113565,55271,58294,112943,55267,57676,112755,54730,58025
Coahuila de Zaragoza,Total,840200,429079,411121,849288,428344,420944,836191,419421,416770,843038,422844,420194,851838,426696,425142
Colima,Preescolar,25000,12838,12162,22792,11482,11310,21797,10876,10921,22483,11253,11230,22255,11348,10907
Colima,Primaria,78751,40239,38512,74563,38198,36365,72904,37395,35509,71291,36205,35086,69951,35456,34495
Colima,Secundaria,37298,18704,18594,34808,17662,17146,34998,17461,17537,33951,17206,16745,34619,17497,17122
Colima,Media superior,28595,14422,14173,30173,14174,15999,28798,13295,15503,30083,14163,15920,30508,14443,16065
Colima,Superior,22182,11388,10794,21189,9945,11244,21455,9772,11683,21608,9907,11701,21952,9981,11971
Colima,Total,191826,97591,94235,183525,91461,92064,179952,88799,91153,179416,88734,90682,179285,88725,90560
Durango,Preescolar,72560,36750,35810,67933,34511,33422,65404,33257,32147,65307,33089,32218,64409,32552,31857
Durango,Primaria,217139,110939,106200,219167,111799,107368,215285,109621,105664,213596,109048,104548,213029,108537,104492
Durango,Secundaria,102617,51538,51079,94766,47440,47326,95182,47735,47447,96459,48405,48054,98642,49569,49073
Durango,Media superior,82241,40534,41707,75714,36303,39411,75131,35529,39602,77079,36744,40335,78930,37388,41542
Durango,Superior,48544,24782,23762,53023,25996,27027,51682,24347,27335,51530,24114,27416,52066,24437,27629
Durango,Total,523101,264543,258558,510603,256049,254554,502684,250489,252195,503971,251400,252571,507076,252483,254593
